"filename", "language", "Markdown", "HTML", "YAML", "C++", "Dart", "JSON", "Swift", "XML", "Gradle", "Properties", "comment", "blank", "total"
"c:\Users\yacal\Documents\finance_connect_app\linux\runner\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\yacal\Documents\finance_connect_app\linux\runner\my_application.cc", "C++", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\yacal\Documents\finance_connect_app\linux\runner\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\yacal\Documents\finance_connect_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 4, 15
"c:\Users\yacal\Documents\finance_connect_app\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\yacal\Documents\finance_connect_app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\yacal\Documents\finance_connect_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"c:\Users\yacal\Documents\finance_connect_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\yacal\Documents\finance_connect_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\yacal\Documents\finance_connect_app\pubspec.yaml", "YAML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 60, 13, 97
"c:\Users\yacal\Documents\finance_connect_app\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\yacal\Documents\finance_connect_app\web\index.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\yacal\Documents\finance_connect_app\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\yacal\Documents\finance_connect_app\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\yacal\Documents\finance_connect_app\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\yacal\Documents\finance_connect_app\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\yacal\Documents\finance_connect_app\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\yacal\Documents\finance_connect_app\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\yacal\Documents\finance_connect_app\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\yacal\Documents\finance_connect_app\windows\runner\utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\yacal\Documents\finance_connect_app\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\yacal\Documents\finance_connect_app\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\yacal\Documents\finance_connect_app\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 13, 19, 27, 547, 597, 248, 57, 470, 72, 8, 312, 430, 2800
